Undefeated |AtlasParkTour1
A Light in Dark Astoria |DarkAstoriaExplorer
Crazy for Crey's Folly |CreysFolleyExplorer
Adam/Eve in Waiting |EdenExplorer
Busy, Busy Bee |TheHiveExplorer
All Your Firebase... |FirebaseZuluExplorer
Cascade Cleansing |CascadeArchExplorer
Can't Stop the Chant |ChantryExplorer
Storming the Palace |StormPalaceExplorer
Mercy Mariner |MercyIslandExplorer
Marcone Insider |PortOakesExplorer
Mad Science Supporter |CapAuDiableExplorer
Jumped the Shark |SharkheadExplorer
Nerva Navigator |NervaExplorer
Johnny's Ex-Best Friend::Johnny's Go To Guy/Gal |StMartialExplorer
Eye on Arachnos::Arachnos Spymaster |GrandvilleExplorer
Touched Bottom |AbyssExplorer
Honorary Monster |MonsterIslandExplorer
Knows Nova's Nooks |P_UndergroundNovaPraetoriaExplorer
Pure Praetorian |P_NovaPraetoriaExplorer
Beneath the Empire |P_UndergroundImperialCityExplorer
Emperor for a Day |P_ImperialCityExplorer
Neu You Could Do It |P_UndergroundNeutropolisExplorer
A Neu Man/Woman |P_NeutropolisExplorer
Alpha Unlocked |IncarnateAlphaSlot
Agent of Order::Agent of Chaos |P_GoingRogueAccoladeP_P_GoingRogueAccolade
Agent of Praetoria |P_P_GoingRogueAccoladeP_GoingRogueAccolade
Arena All-Star |InitiateAllStar
Bug Hunter |BetaTester
Force of Justice::Force of Injustice |SafeguardForceOfJustice
Hell and Back |Halloween09Accolade
Meticulous |Halloween2010Accolade
Pocket D VIP Gold Club Member |GoldClub
Praetoria's Son/Daughter |P_DVDEditionDVDEdition
Stouthearted::Stonehearted |SafeguardStouthearted
Ten times the Victor |Victor10
True to the Last |P_LoyaltyReward
V.I.P.::Destined One |DVDEditionP_DVDEdition
Vigilant::Determined |Vigilant
Viva Praetoria |P_VivaPraetoria
5th Columnist |5thGladiator
7th Generation Paragon Protector |ParagonProtect
Abomination |Abomination
Anathema |Anathema
Arachnobot |Arachnobot
Arachnoid |Arachnoid
Arch-Mage of Agony |ArchMage
Avalanche Shaman |Avalanche
Behemoth Overlord |Behemoth
Bladegrass |Bladegrass
Boulder |Boulder
Button Man Gunner |ButtonMan
Caliban |Caliban
Chief Swiper |Swiper
Cobra |Cobra
Cog |Cog
Coralax Blue Hybrid |Coralax
Crab Spider Longfang |CrabSpider
Crane Enforcer |Crane
Crey Power Tank |PowerTank
Ember Legacy of Flame |LegacyFlame
Fire Thorn Caster |FireCaster
Fortunata Seer |Fortunata
Fungoid |Fungoid
Gremlin |Gremlin
Hellfrost |Hellstrike
Hordeling Lasher |Lasher
Hercules Titan |Titan
Hydra Protean |Protean
Ink Man |InkMan
Juicer |JuicerSniper
Kaolin Legacy of Earth |LegacyEarth
Longbow Nullifier |Nullifier
Longbow Rifleman |LongbowRifleman
Longbow Spec-Ops |SpecOps
Longbow Warden 1 |LongbowTanker
Longbow Warden 2 |LongbowDefender
Lucent Legacy of Light |LegacyLight
Meson |Meson
Mob Specialist |MobSpec
Mook |Mook
Mook Capo |Capo
Mu Guardian |MuGuardian
Nebula Elite Buckshot |NebulaBuckshot
Nemesis Soldier |NemesisSoldier
Night Haunt |PirateGhost
Night Widow |NightWidow
Outcast Slugger |Slugger
Omega Wolf |OmegaWolf
Pariah Anchorite |Anchorite
Penumbra Elite Adjutant |Penumbra
Raider Engineer |RaiderEngineer
Red Cap |RedcapGladiator
Red Hand |RedHand
Research Assistant |ResearchAsst
Rikti Drone |RiktiDrone
Shivan Destroyer |ShivanDestroyer
Slag Pile |SlagPile
Smasher Elite |WarriorSmasher
Snowbeast |WinterMinion
Sorcerer |Sorcerer
Steel Strongman |Strongman
Swift Steel |SwiftSteel
Tank Smasher |TankSmasher
Tarantula |Tarantula
Wailer |Wailer
Wailer Queen |WailerQueen
Warhulk |Warhulk
Wolf Spider Enforcer |WolfSpider
Wolf Spider Tac Ops |TacOps
Wraith |Wraith
Zenith Warcry Mk I |Warcry
Grand Lanista |GrandLanista
Lanista |Lanista
Trustworthy |Veteran3
Faithful |Veteran6
Dependable |Veteran9
Loyal |Veteran12
Zealous |Veteran15
Staunch |Veteran18
Steadfast |Veteran21
Devoted |Veteran24
Dedicated |Veteran27
Committed |Veteran30
Unswerving |Veteran33
Addicted |Veteran36
Ardent |Veteran39
Fervent |Veteran42
Eternal |Veteran45
Battle Hardened |Veteran48
Tried and True |Veteran51
Allegiant |Veteran54
Abiding |Veteran57
City Traveler |Veteran60
Honorable |Veteran63
Enduring |Veteran66
Genuine |Veteran69
Distinguished |Veteran72
Purposeful |Veteran78
Resolute |Veteran75
Agent Provocateur |AgentProvocateur
Risk Taker::Most Wanted |MostWanted
Vigilante::Wanted |Wanted
Arena Victor |1ArenaWin
Arena Duelist |1WinDuel
Tournament Victor |1WinSwissDraw
Arena Survivalist |1WinFreeForAll
Pentad Victor |1WinPentad
Strawweight Champion |Strawweight
Flyweight Champion |Flyweight
Bantamweight Champion |Bantamweight
Featherweight Champion |Featherweight
Lightweight Champion |Lightweight
Welterweight Champion |Welterweight
Middleweight Champion |Middleweight
Cruiserweight Champion |Cruiserweight
Heavyweight Champion |Heavyweight
Super Heavyweight Champion |SuperHeavyweight
Reinforcement |Ace
Forward Observer |Manhunter
Disruptor |Headhunter
Irradiated |BloodyBay
Siren's Song::Raider |SirensCall
Web Master |Warburg
Time Traveler |RecluseVictory
Temporal Agent |RVHeavy10
Temporal Spy |RVHeavy50
Temporal Soldier |RVHeavy250
Oppressor |RVStatesman
Destroyer |RVPositron
Dead-eye |RVManticore
Interrogator |RVSisterPsyche
Breakneck |RVSynapse
Uppercut |RVBackAlleyBrawler
Redeemed Blackguard::Blackguard |RVAllHeroes
Arachnophobic |RVLordRecluse
Wrangler |RVBlackScorpion
Poltergeist |RVGhostWidow
Sandblasted |RVScirocco
Shark Hunter |RVCaptainMako
Justiciar::Fallen Justiciar |RVAllVillains
Time Machinist |RVPillbox10
Somewhere in Time |RVPillbox100
Back From the Future |RVPillbox1000
Gunner |Gunner
Power Liberator::Master Thief |MasterThief
Rocketman/woman |Rocketman
Artisan |InventionLevel1
Master Artisan |InventionLevel2
Craftsman |InventionLevel3
Master Craftsman |InventionLevel4
Fabricator |InventionLevel5
Declining |InventionDeBuff1
Decaying |InventionDeBuff2
Despoiler |InventionDeBuff3
Dismantler |InventionDeBuff4
Retrograde |InventionDeBuff5
Medicator |InventionHeal1
Mender |InventionHeal2
Rebuilder |InventionHeal3
Revivifier |InventionHeal4
Reanimator |InventionHeal5
Armorer |InventionMitigation1
Guardian |InventionMitigation2
Protector |InventionMitigation3
Security |InventionMitigation4
Defensive |InventionMitigation5
Blinding |InventionMez1
Beguiler |InventionMez2
Charming |InventionMez3
Charismatic |InventionMez4
Mesmerizer |InventionMez5
Energy Conservationist |InventionEndurance1
Battery Powered |InventionEndurance2
Nuclear Powered |InventionEndurance3
Mystically Powered |InventionEndurance4
Perpetual |InventionEndurance5
Trigger Man |InventionRateOfFire1
Hired Gun |InventionRateOfFire2
Hit-Man |InventionRateOfFire3
Sniper |InventionRateOfFire4
Sharpshooter |InventionRateOfFire5
Major |InventionAccuracy1
Lt. Colonel |InventionAccuracy2
Colonel |InventionAccuracy3
Major General |InventionAccuracy4
General |InventionAccuracy5
Munitionist |InventionDamage1
Weaponeer |InventionDamage2
Warhead |InventionDamage3
Arms Dealer |InventionDamage4
Lord of War |InventionDamage5
Pilgrim |InventionTravel1
Vagabond |InventionTravel2
Wanderer |InventionTravel3
Walks the Earth |InventionTravel4
Nomad |InventionTravel5
Inventor |InventTutorial
Anger Manager::Vandal |MayhemVandal
Army of Me |Defeat8ClonesChallenge
Bane of Dannan |BaneofDannan
Banisher |Banisher
Believer |Believer
Blindsider |P_DefeatSeers
Bloody Hands::Hero Slayer |MayhemHeroSlayer
Bomb Specialist |RIWEDefeatUXB
Bonecrusher |Bonecrusher
Cannibal |P_DefeatGhouls
Cap Buster |CapBuster
Centurion |Cimerorans
Chief |RIWEDefeatHeavies
Clockstopper |Clockstopper
Coldblooded::Coldhearted |ThornIsle1
Dee Jay |TrollsRaveSmasher
Demon Slayer |DemonSlayer
Devilfish |OctopusEvent
Dimensional Warder |DimensionalWarder
Diplomat::Breathes Easy |STFVictory3
Ectoplasmic |GhostShipDefeats
Electrician |DeathSurge
Escapee |P_DefeatFailedExperiments
Ex-Archvillain::Archvillain |DefeatStatesman
Eye of the Storm |P_DefeatMaelstrom
Finder |Finder
Fire Chief::Asbestos |HellionsFireGold
Firefighter::Firestomper |HellionsFireSilver
Fort Knox |FortKnox
Gangbuster |Gangbuster
Gearsmasher |Gearsmasher
Giant Killer |GiantKiller
Goon Squad |GoonSquad
Gravedigger |Gravedigger
Hammer Down |Scrapyard
Hammerhead |Hammerhead
Haunted |Haunted
Heat Seeker |ArachnosFlier
HellBane |ThornIsle2
Hellspawned |Hellspawned
Illusionist |Illusionist
Infiltrator |Infiltrator
Isolator |Quarantine
Judge & Jury::Merciless |P_DefeatRGC
Keeper of Secrets |KeeperOfSecrets
Kill Skuls |Bonecrusher2
Knight Errant::Black Knight |ClockworkPaladinEvent
Legionnaire |Legionnaire
Locksmith::Safecracker |MayhemSafeCracker
Man/Woman in Black |ManinBlack
Marked for Death |P_DefeatSyndicate
Master At Arms |RWZMasterAtArms
Master/Mistress of Olympus |MasterOfOlympus
Monkeywrencher |Monkeywrencher
The Mongoose |TheMongoose
No Authority |P_DefeatPPD
Pirate |GhostTrap50
Privateer |Privateer
Protectorate::Devourer of Earth |Protectorate
Pumpkin King/Queen |PumpkinKing
Pumpkin Master/Mistress |PumpkinMaster
Raver |TrollsRaveRoundup
Redundant |P_DefeatTheDestroyers
Reformed::Villain |Villain
Regenerator |Regenerator
Resistance is Futile |P_DefeatResistance
Roman |RomulusDefeated
Sentry |RIWEDefeatInvaders
Soul Binder |SoulBinder
Spectral |GhostTrap100
Spellbinding |Spellbinding
Spider Smasher |SpiderSmasher
Statesman's Pal::Praetoria's Bane |StatesmansPal
Strike Buster |StrikeBuster
Surging |Surging
Tank Buster |Blitzkrieg
Technophobe |P_DefeatClockwork
The Silver Bullet |SilverBullet
The Slayer |Slayer
The Solution |TheSolution
Thin Line::Outlaw |MayhemOutlaw
Tracer |Tracer
Unleasher |Unleasher
Untouchable |Untouchable
Unveiler |Unveiler
Usurper |DefeatRecluse
Venomous |Venomous
Villain Disruptor |SafeguardVillainDisruptor
Visionary |Visionary
Volcanic |Volcanic
Volunteer Firefighter::Fire Bane |HellionsFireBronze
Warden::Cruel Warden |Warden
Weatherman/girl |Weatherman
Weed Whacker |WeedWhacker
Whip Cracker |P_DefeatDesdemona
Zookeeper |Zookeeper
Celebrant |Anniversary1
Reveler |Anniversary2
Merrymaker |Anniversary3
Entertainer |Anniversary4
Jubilant |Anniversary5
Exultant |Anniversary6
Pursuer::Elusive |CoVAnniversary
Partygoer |_PocketD_Jubilee
Heart of Light::Heart of Darkness |ValentineLogin
Handsome/Beautiful |LovePotion
Toothbreaker |Hunt
Clothes Horse |Halloween20071
Fashionable |Halloween20072
Ostentatious |Halloween20073
Dark Fiend |Halloween09DarkFiend
Hell Hath No Fury |Halloween09WomenScorned
Terror |Halloween09Terrors
Monster Masher |Halloween09Monster
Monstrous |Halloween09MonsterGM
Ghost Touched |GhostTouched
Iron Warrior |IronWarrior
Hallow Spirit |HallowSpirit
Hunter |Hunter
Buster |Buster
Shifter |Shifter
Dead Head |DeadHead
Malleus |Malleus
Secured |Halloween2010Secured
Power Hungry |Halloween2010PowerHungry
Artifact Destroyer |Halloween2010ArtifactDestroyer
Veiled |Halloween2010Veiled
Arriviste |Halloween2010Arriviste
Trusting |Halloween2010Trusting
Glimpsed the Abyss |Halloween20081
Safety in Numbers |Halloween20082
Evil's Resident |Halloween20083
Apocalypse Survivor |Halloween20084
Miraculous |Miraculous
Joyful |Joyful
Frosty |Frosty
Crystallized |Crystallized
Longbow Reservist::Jet-Setter |Holiday20051
Cold Front |ColdFront
Gifted |Winter2007
Frostbitten |Winter2008
Festive |Winter2009
Cold Warrior |SnowmenDefeat
Frozen Fury |SnowbeastDefeat
Holiday Spirit::Scrooge |Holiday20052
Lord/Lady of Winter |Winter2009DefeatLordWinter
Toy Collector |Holiday20053
###MISSING INFO### |Holiday2010
Passport |ServerTransfer
Troubleshooter |Flashback5
Adjuster |Flashback10
Calibrator |Flashback15
Alterist |Flashback20
Balancer |Flashback25
Correctionist |Flashback30
Repairman/Repairwoman |Flashback35
Overhauler |Flashback40
Time Fixer |Flashback45
Ouroboros Mender |Flashback50
All For One, One For All |LivesTeamPool0
Divided Mastery |LivesTeamPool1
Proportional Supremacy |LivesTeamPool3
Shared Victory |LivesTeamPool5
Bronze Medalist |TimeLimitBronze
Silver Medalist |TimeLimitSilver
Gold Medalist |TimeLimitGold
Venturous |DeBuffedPartyatSL2
Headstrong |DeBuffedPartyatSL3
Adventurous |DeBuffedPartyatSL4
Daredevil |DeBuffedPartyatSL5
Rash |DeBuffedPartyatSL6
Venturesome |DeBuffedPartyatSL7
Reckless |DeBuffedPartyatSL8
Temerarious |DeBuffedPartyatSL9
Audacious |BuffedEnemiesatSL2
Courageous |BuffedEnemiesatSL3
Bold |BuffedEnemiesatSL4
Fearless |BuffedEnemiesatSL5
Valiant |BuffedEnemiesatSL6
Stalwart |BuffedEnemiesatSL7
Lionhearted |BuffedEnemiesatSL8
Intrepid |BuffedEnemiesatSL9
Contributor |ArchetypePowersOnlyatSL2
Vocational |ArchetypePowersOnlyatSL3
Professional |ArchetypePowersOnlyatSL4
All Business |ArchetypePowersOnlyatSL5
Archetypical |ArchetypePowersOnlyatSL6
Obligated |ArchetypePowersOnlyatSL7
Missionary |ArchetypePowersOnlyatSL8
Undertaker |ArchetypePowersOnlyatSL9
Refrained |NoTravelPowersatSL2
Shut Down |NoTravelPowersatSL3
Desisted |NoTravelPowersatSL4
Barred |NoTravelPowersatSL5
Still |NoTravelPowersatSL6
Stalled |NoTravelPowersatSL7
Stemmed |NoTravelPowersatSL8
Suspended |NoTravelPowersatSL9
Diminished |NoTemporaryPowersatSL2
Curtailed |NoTemporaryPowersatSL3
Capped |NoTemporaryPowersatSL4
Inhibited |NoTemporaryPowersatSL5
Hindered |NoTemporaryPowersatSL6
Bound |NoTemporaryPowersatSL7
Limited |NoTemporaryPowersatSL8
Demarcated |NoTemporaryPowersatSL9
Cut-Off |NoEpicPowersatSL8
Marginalized |NoEpicPowersatSL9
Cliche |NoInspirationsatSL2
Unimaginative |NoInspirationsatSL3
Flat |NoInspirationsatSL4
Unoriginal |NoInspirationsatSL5
Dull |NoInspirationsatSL6
Phoned It In |NoInspirationsatSL7
Indifferent |NoInspirationsatSL8
Uninspired |NoInspirationsatSL9
Lessened |NoEnhancementsatSL2
Debilitated |NoEnhancementsatSL3
Anemic |NoEnhancementsatSL4
Weakened |NoEnhancementsatSL5
Deflated |NoEnhancementsatSL6
Decreased |NoEnhancementsatSL7
Devalued |NoEnhancementsatSL8
Unenhanced |NoEnhancementsatSL9
Entrusted with the Secret |OuroborosEnabled
Vendor |AuctionSeller1
Salesman/Saleswoman |AuctionSeller2
Tradesman/Tradeswoman |AuctionSeller3
Merchant |AuctionSeller4
Peddler |AuctionSeller5
Retailer |AuctionSeller6
Dealer |AuctionSeller7
Auctioneer |AuctionSeller8
Businessman/Businesswoman |AuctionSeller9
Marketer::Black Martketeer |AuctionSeller10
Shopkeeper |AuctionSeller11
Power Seller |AuctionSeller12
Broker |AuctionRecipes
Inspiring |AuctionInspirations
Scrounger |AuctionSalvage
Enhancer |AuctionEnhancements
Arachnos Traitor::Arachnos Official |DJ_Arachnos_Official
Architect |DJ_Architect
Banker::Thief |DJ_Banker
Cannon Fodder::Arachnos Agent |DJ_Arachnos_Agent
Caregiver::Pain Specialist |DJ_Caregiver
Chronologist |DJ_Mender
Cimeroran |DJ_Cimeroran
City Official::Ousted Official |DJ_City_Official
Clubber |DJ_Clubber
Commuter::Fare Jumper |DJ_Commuter
Crey Test Subject::Crey Employee |DJ_Crey_Employee
Day Trader::Marketeer |DJ_Auctioneer
Dimensional Explorer::Dimensional Plunderer |DJ_Dimensional_Explorer
Duelist |DJ_Duelist
Fashion Designer |DJ_Clotheshorse
Grounded::Pilot |DJ_Pilot
Gunrunner::Smuggler |DJ_Smuggler
Intern::Wage Slave |DJ_Intern
Law Enforcer::Dirty Cop |DJ_Law_Enforcement
Midnighter |DJ_Midnighter
Monitor Duty |DJ_Monitor_Duty
Mortician |DJ_Gravedigger
Patroller (Praetorian Origin)::Criminal |P_DJ_On_Patrol
Patroller::Criminal |DJ_On_Patrol
Predator |DJ_Griefer
Professional Liar::Demagogue |DJ_Demagogue
Professor |DJ_Scholar
Shop Keeper::Price Gouger |DJ_Shop_Keeper
Vanguard Recruit |DJ_Vanguard_Recruit
Destructive |ArchitectDestroy1
Extractor |ArchitectRescue1
Poor Impulse Control |ArchitectClick10
Workaholic |ArchitectNonRequiredObjective25
Admiring |ArchitectPlayDevChoice1
Critic |ArchitectHallofFame5
Cunning |ArchitectRogueMission
Early Bird |ArchitectFirstPlay
Gamer |ArchitectPlay25
Heroic |ArchitectHeroMissions10
Villainous |ArchitectVillainMissions10
Walks the Line |ArchitectVigilanteMission
Author |ArchitectAuthor50
Recognized |ArchitectTotalStars100
Among Friends |ArchitectTest8
Bug Fixer |ArchitectTestOwnMission
Virtual Destruction |ArchitectTestDestroy1
Virtual Extractor |ArchitectTestRescue1
Virtual Victim |ArchitectDefeatedinTest
Virtual Victor |ArchitectTestKill10
Virtually Impulsive |ArchitectTestClick1
Payoff |ArchitectPurchase
Ticket Taker |ArchitectTickets100
Architect X |Architects10
Architect XXV |Architects25
Assassin |ArchitectCustomKills50
Customizer |ArchitectCustomBoss
Energized |ArchitectInspirations10
Atlas Park Beacon |BeaconAtlasPark
Galaxy City Beacon |BeaconGalaxyCity
Kings Row Beacon |BeaconKingsRow
Steel Canyon Beacon |BeaconSteelCanyon
Skyway City Beacon |BeaconSkywayCity
Faultline Beacon |BeaconFaultline
Talos Island Beacon |BeaconTalosIsland
Independence Port Beacon |BeaconIndependencePort
Croatoa Beacon |BeaconCroatoa
Brickstown Beacon |BeaconBrickstown
Founders Falls Beacon |BeaconFoundersFalls
Peregrine Island Beacon |BeaconPeregrineIsland
The Hollows Beacon |BeaconTheHollows
Perez Park Beacon |BeaconPerezPark
Boomtown Beacon |BeaconBoomTown
Striga Isle Beacon |BeaconStriga
Terra Volta Beacon |BeaconTerraVolta
Dark Astoria Beacon |BeaconDarkAstoria
Crey's Folly Beacon |BeaconCreysFolly
Eden Beacon |BeaconEden
Mercy Isle Beacon |BeaconMercy
Port Oakes Beacon |BeaconPortOakes
Cap au Diable Beacon |BeaconCap
Sharkhead Isle Beacon |BeaconSharkhead
Nerva Beacon |BeaconNerva
St. Martial Beacon |BeaconStMartial
Grandville Beacon |BeaconGrandville
Rikti War Zone Beacon |BeaconRiktiCrashSite
Pocket D Beacon |BeaconPocketD
Analyzer Base Defense |AnalyzerTurret
Gas Trap Base Defense |GasTrap
Improved Energy Turret |ImpEnergyBeam
Repulsor Base Defense |Repulsor
Benedict DR Turret Plans |DampeningRay
Benedict DR-3 Turret Plans |EliteDampeningRay
Benedict DR-2 Turret Plans |ImpDampeningRay
Supercomputer |Supercomputer
Autonomous Expert System Plans |SyntheticIntel
Mega Monitor Plans |EdgeMonitor
Emergency Capacitor Plans |EmergencyCapacitor
Auto-Doc Plans |MedAdvisor
Robo-Surgery Plans |DoctorsDesk
Combat Log Plans |CombatLog
Fusion Generator Plans |FusionGenerator
Improved Igniter |ImpIgniter
Scorpian's Surprise |ScorpionTurret
Ritki Plasma Turret |RiktiTurret
